# Rosenbrock optimization failure log
# Init_X      Init_Y      Final_X     Final_Y     Solver_Type
9.898990e-01 -5.959596e-01 -6.148171e+97 8.256014e+06 Standard
1.151515e+00 -9.191919e-01 -5.353782e+186 2.003139e+04 Symmetrized
1.191919e+00 5.050505e-02 2.720962e+78 3.039676e+05 Standard
1.232323e+00 -1.000000e+00 -5.915612e+222 1.553428e+05 Standard
1.232323e+00 5.757576e-01 5.158802e+224 1.732875e+05 Symmetrized
1.272727e+00 -1.000000e+00 3.401779e+171 8.451045e+03 Standard
1.272727e+00 -9.595960e-01 1.362413e+104 2.420815e+07 Standard
1.272727e+00 -9.191919e-01 2.577131e+195 3.277791e+04 Standard
1.313131e+00 -9.595960e-01 -1.549217e+86 1.140929e+06 Standard
1.313131e+00 3.333333e-01 -2.060740e+103 2.118479e+07 Standard
1.353535e+00 -9.191919e-01 -7.442185e+104 2.737372e+07 Standard
1.353535e+00 -8.787879e-01 3.328639e+196 3.492049e+04 Standard
1.353535e+00 -8.383838e-01 -9.569990e+87 1.549543e+06 Standard
1.353535e+00 -7.979798e-01 3.059100e+89 2.000149e+06 Standard
1.353535e+00 -4.747475e-01 -2.969840e+141 1.706008e+10 Standard
1.393939e+00 -8.787879e-01 4.403950e+94 4.838523e+06 Standard
1.393939e+00 -8.383838e-01 -3.913377e+153 3.065181e+03 Standard
1.393939e+00 -3.939394e-01 1.043464e+155 3.318842e+03 Standard
1.393939e+00 5.353535e-01 -1.745039e+88 1.617923e+06 Standard
1.434343e+00 -7.979798e-01 -4.138538e+125 9.629087e+08 Standard
1.434343e+00 -7.171717e-01 3.075399e+102 1.819633e+07 Standard
1.434343e+00 -6.767677e-01 4.400466e+110 7.450767e+07 Standard
1.434343e+00 -3.131313e-01 1.275506e+119 3.150033e+08 Standard
1.474747e+00 -6.363636e-01 1.149803e+120 3.446510e+08 Standard
1.474747e+00 -5.959596e-01 5.569053e+92 3.498220e+06 Standard
1.515152e+00 -5.151515e-01 2.561760e+170 7.934444e+03 Standard
1.555556e+00 -3.030303e-02 3.308976e+222 1.530082e+05 Standard
1.595960e+00 -8.383838e-01 5.787423e+77 2.709870e+05 Standard
1.595960e+00 -6.767677e-01 -8.293270e+221 1.478855e+05 Standard
1.595960e+00 9.090909e-02 1.602359e+130 2.322773e+09 Standard
1.595960e+00 7.777778e-01 7.407084e+105 3.311666e+07 Standard
1.636364e+00 -7.979798e-01 1.398687e+159 4.190852e+03 Standard
1.636364e+00 -6.767677e-01 -8.737973e+89 2.165154e+06 Symmetrized
1.636364e+00 2.030303e+00 -5.839938e+90 2.473336e+06 Symmetrized
1.676768e+00 -7.575758e-01 7.742062e+98 9.918695e+06 Standard
1.676768e+00 2.929293e-01 -9.324956e+119 3.605165e+08 Standard
1.676768e+00 1.101010e+00 -1.165039e+79 3.385499e+05 Standard
1.717172e+00 -1.000000e+00 2.562753e+124 7.434160e+08 Standard
1.717172e+00 4.141414e-01 9.118449e+108 5.636689e+07 Standard
1.757576e+00 -9.191919e-01 -2.587775e+110 6.940197e+07 Standard
1.757576e+00 -6.363636e-01 4.798130e+115 1.771618e+08 Standard
1.757576e+00 5.353535e-01 -1.628120e+165 5.915520e+03 Standard
1.797980e+00 -8.787879e-01 -1.410809e+130 1.993601e+09 Standard
1.797980e+00 -8.383838e-01 1.775214e+108 4.925109e+07 Standard
1.797980e+00 -5.555556e-01 -1.655988e+128 1.297284e+09 Standard
