# X   ANN_y   Exact_y   ANN_dy   Exact_dy   ANN_d2y   Exact_d2y   ANN_Integral   Exact_Integral
-0.090301 0.118079 0.118042 4.94572 4.94547 -1.41074 -1.40466 -0.264433 -0.264435
-0.083612 0.151122 0.151083 4.93284 4.93263 -2.4402 -2.43376 -0.263532 -0.263535
-0.0769231 0.184055 0.184015 4.91308 4.91291 -3.46787 -3.4611 -0.262411 -0.262414
-0.0702341 0.216833 0.216792 4.88645 4.88634 -4.49197 -4.48492 -0.26107 -0.261074
-0.0635452 0.249411 0.249369 4.85299 4.85293 -5.51074 -5.50347 -0.259511 -0.259514
-0.0568562 0.281741 0.281699 4.81275 4.81273 -6.52244 -6.51499 -0.257734 -0.257738
-0.0501672 0.31378 0.313738 4.76576 4.76579 -7.52531 -7.51774 -0.255742 -0.255747
-0.0434783 0.345482 0.345441 4.7121 4.71218 -8.51763 -8.51 -0.253537 -0.253542
-0.0367893 0.376803 0.376763 4.65184 4.65197 -9.49769 -9.49006 -0.251121 -0.251126
-0.0301003 0.4077 0.40766 4.58507 4.58525 -10.4638 -10.4562 -0.248497 -0.248502
-0.0234114 0.438128 0.43809 4.51189 4.51212 -11.4143 -11.4068 -0.245668 -0.245673
-0.0167224 0.468045 0.468009 4.43241 4.43269 -12.3475 -12.3403 -0.242637 -0.242643
-0.0100334 0.49741 0.497376 4.34675 4.34708 -13.2619 -13.2549 -0.239408 -0.239414
-0.00334448 0.526182 0.52615 4.25504 4.25541 -14.1558 -14.1491 -0.235984 -0.23599
0.00334448 0.554321 0.554291 4.15742 4.15784 -15.0278 -15.0215 -0.23237 -0.232376
0.0100334 0.581787 0.581761 4.05405 4.05451 -15.8764 -15.8705 -0.22857 -0.228576
0.0167224 0.608543 0.60852 3.94508 3.94558 -16.7 -16.6946 -0.224589 -0.224595
0.0234114 0.634552 0.634532 3.83069 3.83123 -17.4974 -17.4925 -0.220431 -0.220437
0.0301003 0.659778 0.659762 3.71106 3.71163 -18.2671 -18.2628 -0.216102 -0.216108
0.0367893 0.684187 0.684175 3.58638 3.58697 -19.0079 -19.0043 -0.211606 -0.211613
0.0434783 0.707746 0.707737 3.45685 3.45746 -19.7185 -19.7156 -0.20695 -0.206957
0.0501672 0.730422 0.730418 3.32266 3.32329 -20.3977 -20.3955 -0.20214 -0.202147
0.0568562 0.752186 0.752186 3.18404 3.18468 -21.0444 -21.043 -0.197181 -0.197188
0.0635452 0.773009 0.773013 3.0412 3.04185 -21.6576 -21.657 -0.192079 -0.192086
0.0702341 0.792862 0.792871 2.89438 2.89503 -22.2363 -22.2365 -0.186842 -0.186849
